"FRAUDFOUND","WEEKOFMONTH","DAYOFWEEK","MAKE","ACCIDENTAREA","DAYOFWEEKCLAIMED","MONTHCLAIMED","WEEKOFMONTHCLAIMED","SEX","MARITALSTATUS","FAULT","VEHICLECATEGORY","VEHICLEPRICE","POLICYNUMBER","REPNUMBER","DEDUCTIBLE","DRIVERRATING","DAYS:POLICY-ACCIDENT","DAYS:POLICY-CLAIM","PASTNUMBEROFCLAIMS","AGEOFVEHICLE","AGEOFPOLICYHOLDER","POLICEREPORTFILED","WITNESSPRESENT","AGENTTYPE","NUMBEROFSUPPLIMENTS","ADDRESSCHANGE-CLAIM","NUMBEROFCARS","BASEPOLICY"
"Yes",1,"Friday","Honda","Rural","Friday","Dec",3,"Male","Single","PolicyHolder","Sedan","more than 69_000",120,7,400,3,"morethan30","morethan30","none","new","16to17","No","No","External","none","nochange","1vehicle","AllPerils"
"No",3,"Wednesday","Toyota","Rural","Friday","Feb",4,"Male","Single","ThirdParty","Sport","20_000 to 29_000",145,1,400,4,"morethan30","morethan30","2to4","5years","26to30","No","No","External","3to5","nochange","1vehicle","Liability"
"Yes",1,"Monday","Toyota","Rural","Tuesday","May",3,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",148,1,400,3,"morethan30","morethan30","none","morethan7","36to40","No","No","External","morethan5","under6months","2vehicles","AllPerils"
"Yes",2,"Friday","Chevrolet","Urban","Friday","Jan",2,"Male","Married","PolicyHolder","Sedan","more than 69_000",161,12,400,3,"morethan30","morethan30","none","6years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"No",2,"Monday","VW","Urban","Tuesday","Feb",4,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",173,2,400,4,"morethan30","morethan30","none","7years","36to40","No","No","External","none","nochange","1vehicle","Collision"
"Yes",2,"Monday","Mazda","Urban","Monday","Jan",1,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",190,10,400,2,"morethan30","morethan30","2to4","morethan7","36to40","No","No","External","none","4to8years","2vehicles","AllPerils"
"Yes",3,"Tuesday","Chevrolet","Urban","Monday","Jan",2,"Male","Married","PolicyHolder","Utility","more than 69_000",193,14,400,2,"morethan30","morethan30","none","6years","31to35","No","No","External","1to2","nochange","1vehicle","AllPerils"
"Yes",3,"Thursday","Honda","Urban","Monday","Jan",1,"Male","Married","PolicyHolder","Sport","more than 69_000",195,13,400,3,"morethan30","morethan30","none","morethan7","36to40","No","No","External","none","nochange","1vehicle","Collision"
"Yes",3,"Friday","Pontiac","Urban","Tuesday","Jan",3,"Male","Married","ThirdParty","Sedan","less than 20_000",205,16,500,3,"none","morethan30","2to4","7years","36to40","No","No","External","none","2to3years","1vehicle","AllPerils"
"Yes",3,"Saturday","Pontiac","Urban","Monday","Jan",2,"Male","Married","PolicyHolder","Sedan","more than 69_000",207,11,400,4,"morethan30","morethan30","2to4","4years","31to35","No","No","External","1to2","nochange","1vehicle","Collision"
"No",4,"Wednesday","Honda","Rural","Monday","Feb",5,"Female","Married","ThirdParty","Sedan","less than 20_000",212,1,400,1,"morethan30","morethan30","none","5years","36to40","No","No","External","3to5","nochange","1vehicle","AllPerils"
"Yes",4,"Thursday","Pontiac","Rural","Wednesday","Jan",1,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",229,1,400,2,"morethan30","morethan30","1","7years","36to40","No","No","External","3to5","nochange","1vehicle","Collision"
"No",2,"Monday","Pontiac","Urban","Thursday","Jun",4,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",231,13,400,1,"morethan30","morethan30","none","6years","31to35","No","No","External","none","nochange","1vehicle","Collision"
"Yes",4,"Thursday","Chevrolet","Urban","Monday","Jan",1,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",233,12,400,2,"morethan30","morethan30","2to4","7years","31to35","No","No","External","none","nochange","1vehicle","Collision"
"Yes",4,"Thursday","Chevrolet","Urban","Tuesday","Jan",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",236,16,400,4,"morethan30","morethan30","none","6years","31to35","No","No","External","3to5","nochange","1vehicle","AllPerils"
"No",5,"Friday","Pontiac","Urban","Monday","Jan",1,"Male","Single","PolicyHolder","Sport","20_000 to 29_000",256,9,500,2,"morethan30","morethan30","1","morethan7","36to40","No","No","External","morethan5","2to3years","1vehicle","Liability"
"No",5,"Tuesday","Pontiac","Urban","Tuesday","Jun",5,"Male","Married","PolicyHolder","Sport","30_000 to 39_000",260,10,400,2,"morethan30","morethan30","2to4","morethan7","41to50","No","No","External","morethan5","nochange","1vehicle","Liability"
"No",2,"Monday","Pontiac","Urban","Monday","Dec",4,"Female","Married","PolicyHolder","Sedan","20_000 to 29_000",279,1,400,4,"morethan30","morethan30","2to4","7years","41to50","No","No","External","3to5","nochange","1vehicle","AllPerils"
"Yes",5,"Wednesday","Pontiac","Urban","Wednesday","Jan",1,"Male","Single","PolicyHolder","Sedan","40_000 to 59_000",298,1,400,4,"morethan30","morethan30","2to4","7years","36to40","No","No","External","morethan5","nochange","1vehicle","Collision"
"No",1,"Monday","Pontiac","Rural","Monday","Apr",1,"Male","Married","PolicyHolder","Sport","20_000 to 29_000",308,5,400,4,"morethan30","morethan30","morethan4","6years","41to50","No","No","External","3to5","nochange","1vehicle","Liability"
"Yes",5,"Friday","Pontiac","Rural","Tuesday","Jan",2,"Male","Married","PolicyHolder","Sedan","less than 20_000",309,7,400,1,"morethan30","morethan30","none","morethan7","41to50","No","No","External","none","under6months","1vehicle","AllPerils"
"Yes",5,"Friday","Honda","Urban","Tuesday","Jan",1,"Male","Single","PolicyHolder","Sedan","more than 69_000",310,6,400,3,"morethan30","morethan30","1","new","16to17","No","No","External","none","nochange","1vehicle","AllPerils"
"No",5,"Wednesday","Pontiac","Rural","Tuesday","Apr",1,"Female","Married","ThirdParty","Sport","20_000 to 29_000",315,4,400,2,"morethan30","morethan30","1","7years","36to40","No","No","External","none","nochange","1vehicle","Liability"
"Yes",5,"Friday","Honda","Urban","Monday","Jan",2,"Male","Single","PolicyHolder","Utility","more than 69_000",316,14,400,1,"morethan30","morethan30","1","new","16to17","No","No","External","none","4to8years","2vehicles","AllPerils"
"Yes",1,"Saturday","Honda","Urban","Wednesday","Jan",1,"Male","Single","PolicyHolder","Sedan","more than 69_000",318,16,400,4,"morethan30","morethan30","1","new","16to17","No","No","External","none","nochange","1vehicle","Collision"
"No",3,"Wednesday","Ford","Urban","Thursday","Mar",3,"Male","Married","ThirdParty","Sedan","more than 69_000",321,2,400,4,"morethan30","morethan30","morethan4","morethan7","41to50","No","No","External","morethan5","nochange","1vehicle","Collision"
"No",3,"Thursday","Chevrolet","Urban","Thursday","Apr",3,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",323,15,400,3,"morethan30","morethan30","none","7years","31to35","No","No","External","3to5","nochange","1vehicle","Collision"
"No",3,"Thursday","Honda","Urban","Friday","Jul",3,"Male","Married","ThirdParty","Sedan","30_000 to 39_000",328,13,400,3,"morethan30","morethan30","morethan4","7years","31to35","No","No","External","morethan5","nochange","1vehicle","Collision"
"No",3,"Friday","Chevrolet","Rural","Wednesday","Mar",4,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",348,5,400,3,"morethan30","morethan30","none","morethan7","over65","No","No","External","morethan5","nochange","1vehicle","AllPerils"
"No",2,"Tuesday","Chevrolet","Urban","Tuesday","Mar",2,"Male","Married","ThirdParty","Sedan","20_000 to 29_000",355,10,400,2,"morethan30","morethan30","2to4","morethan7","41to50","No","No","External","morethan5","nochange","1vehicle","AllPerils"
"No",1,"Wednesday","Chevrolet","Urban","Monday","Apr",2,"Male","Married","PolicyHolder","Utility","more than 69_000",366,14,400,1,"morethan30","morethan30","2to4","5years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",1,"Monday","Pontiac","Urban","Wednesday","Jan",1,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",367,8,400,2,"morethan30","morethan30","none","7years","41to50","No","No","External","none","under6months","1vehicle","AllPerils"
"Yes",1,"Monday","Ford","Urban","Monday","Jan",2,"Male","Married","PolicyHolder","Sedan","40_000 to 59_000",381,6,400,2,"morethan30","morethan30","2to4","morethan7","51to65","No","No","External","3to5","nochange","1vehicle","Collision"
"Yes",1,"Tuesday","Honda","Urban","Wednesday","Jan",4,"Male","Single","PolicyHolder","Sedan","more than 69_000",386,7,400,3,"morethan30","morethan30","none","new","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"No",4,"Sunday","Toyota","Urban","Monday","Feb",4,"Male","Married","PolicyHolder","Sedan","more than 69_000",388,10,400,3,"morethan30","morethan30","none","morethan7","over65","No","No","External","morethan5","nochange","1vehicle","Collision"
"No",1,"Sunday","Mazda","Urban","Monday","Jul",1,"Female","Single","PolicyHolder","Sedan","30_000 to 39_000",405,12,400,2,"morethan30","morethan30","none","6years","31to35","No","No","External","3to5","nochange","1vehicle","Collision"
"Yes",1,"Wednesday","Accura","Urban","Monday","Jan",3,"Male","Married","PolicyHolder","Sedan","more than 69_000",406,7,400,4,"morethan30","morethan30","morethan4","morethan7","41to50","No","No","External","3to5","nochange","1vehicle","AllPerils"
"Yes",2,"Wednesday","Pontiac","Urban","Tuesday","Nov",3,"Female","Married","ThirdParty","Sedan","30_000 to 39_000",409,10,500,2,"morethan30","morethan30","2to4","6years","31to35","No","No","External","none","2to3years","1vehicle","Collision"
"No",4,"Thursday","Chevrolet","Urban","Wednesday","Mar",1,"Female","Married","PolicyHolder","Sedan","20_000 to 29_000",421,2,400,3,"morethan30","morethan30","none","morethan7","36to40","No","No","External","none","4to8years","2vehicles","Collision"
"Yes",2,"Friday","Honda","Rural","Wednesday","Jan",2,"Female","Single","PolicyHolder","Sedan","less than 20_000",450,4,400,1,"morethan30","morethan30","1","5years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"No",4,"Tuesday","Pontiac","Rural","Wednesday","Nov",1,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",481,10,400,1,"morethan30","morethan30","2to4","morethan7","41to50","No","No","External","none","nochange","1vehicle","Collision"
"No",3,"Thursday","Honda","Urban","Thursday","Jun",4,"Male","Single","PolicyHolder","Sedan","20_000 to 29_000",491,5,400,4,"morethan30","morethan30","2to4","4years","26to30","No","No","External","none","nochange","1vehicle","Collision"
"No",3,"Wednesday","Mazda","Urban","Wednesday","Oct",3,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",500,12,400,1,"morethan30","morethan30","none","morethan7","36to40","No","No","External","none","nochange","1vehicle","Collision"
"Yes",2,"Saturday","Pontiac","Rural","Thursday","Jan",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",504,10,400,1,"morethan30","morethan30","none","morethan7","over65","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",2,"Sunday","Toyota","Rural","Thursday","Jan",3,"Male","Single","PolicyHolder","Sedan","less than 20_000",509,1,400,4,"morethan30","morethan30","none","6years","36to40","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",2,"Monday","Chevrolet","Urban","Tuesday","Jan",4,"Male","Married","PolicyHolder","Sport","20_000 to 29_000",523,13,400,2,"morethan30","morethan30","2to4","morethan7","36to40","No","No","External","1to2","nochange","1vehicle","Liability"
"Yes",2,"Monday","Mazda","Rural","Tuesday","Jan",2,"Male","Married","PolicyHolder","Sedan","40_000 to 59_000",529,15,400,4,"morethan30","morethan30","1","7years","36to40","No","No","External","3to5","nochange","1vehicle","Collision"
"Yes",2,"Monday","Pontiac","Urban","Friday","Jan",3,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",534,7,400,3,"morethan30","morethan30","2to4","5years","31to35","No","No","External","1to2","nochange","3to4","Collision"
"Yes",2,"Monday","Chevrolet","Urban","Wednesday","Jan",3,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",537,13,400,1,"morethan30","morethan30","none","7years","31to35","No","No","External","none","nochange","1vehicle","Collision"
"Yes",2,"Monday","Honda","Urban","Wednesday","Jan",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",539,5,400,2,"morethan30","morethan30","none","7years","36to40","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",2,"Tuesday","Honda","Urban","Friday","Jan",4,"Male","Single","PolicyHolder","Sedan","more than 69_000",543,12,400,4,"morethan30","morethan30","none","new","16to17","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",2,"Wednesday","Pontiac","Urban","Monday","Jan",4,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",557,5,400,3,"morethan30","morethan30","none","6years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"No",4,"Thursday","Toyota","Urban","Monday","Feb",3,"Female","Married","PolicyHolder","Sedan","less than 20_000",559,6,700,3,"morethan30","morethan30","none","7years","36to40","No","No","External","3to5","nochange","1vehicle","AllPerils"
"Yes",2,"Thursday","Toyota","Urban","Thursday","Jan",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",565,9,400,1,"morethan30","morethan30","2to4","morethan7","41to50","No","No","External","none","nochange","1vehicle","Collision"
"Yes",3,"Saturday","Pontiac","Urban","Monday","Jan",3,"Male","Single","PolicyHolder","Sedan","less than 20_000",607,4,400,1,"morethan30","morethan30","2to4","5years","26to30","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",3,"Saturday","Toyota","Urban","Monday","Jan",5,"Male","Single","PolicyHolder","Sedan","less than 20_000",618,8,400,3,"morethan30","morethan30","2to4","5years","31to35","No","No","External","3to5","nochange","1vehicle","Collision"
"No",3,"Sunday","Ford","Urban","Thursday","Feb",1,"Female","Married","ThirdParty","Sedan","40_000 to 59_000",619,6,400,4,"morethan30","morethan30","morethan4","6years","36to40","No","No","External","none","nochange","1vehicle","Collision"
"No",1,"Monday","Pontiac","Urban","Thursday","Apr",1,"Female","Married","PolicyHolder","Sedan","20_000 to 29_000",632,10,400,4,"morethan30","morethan30","none","7years","36to40","No","No","External","1to2","nochange","1vehicle","AllPerils"
"No",1,"Saturday","Pontiac","Rural","Wednesday","Dec",2,"Male","Married","ThirdParty","Sedan","20_000 to 29_000",646,2,400,2,"morethan30","morethan30","1","morethan7","51to65","No","No","External","3to5","nochange","1vehicle","AllPerils"
"Yes",3,"Monday","Mazda","Urban","Tuesday","Jan",4,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",647,13,400,2,"morethan30","morethan30","2to4","6years","31to35","No","No","External","morethan5","nochange","1vehicle","Collision"
"Yes",3,"Monday","Chevrolet","Rural","Wednesday","Jan",3,"Male","Married","PolicyHolder","Sport","30_000 to 39_000",650,2,400,1,"morethan30","morethan30","2to4","7years","36to40","No","No","External","none","nochange","1vehicle","Liability"
"No",5,"Monday","Saturn","Rural","Wednesday","Nov",1,"Male","Married","PolicyHolder","Sport","40_000 to 59_000",654,6,400,2,"15to30","15to30","morethan4","7years","36to40","No","No","External","none","nochange","1vehicle","Liability"
"Yes",1,"Tuesday","VW","Urban","Friday","Aug",1,"Male","Married","ThirdParty","Sedan","60_000 to 69_000",664,2,500,4,"morethan30","morethan30","1","7years","31to35","No","No","External","none","2to3years","1vehicle","AllPerils"
"Yes",3,"Tuesday","Chevrolet","Urban","Wednesday","Jan",3,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",667,9,400,3,"morethan30","morethan30","1","morethan7","over65","No","No","External","none","nochange","1vehicle","Collision"
"No",3,"Tuesday","Pontiac","Urban","Tuesday","Nov",3,"Male","Married","PolicyHolder","Sport","30_000 to 39_000",671,12,400,3,"morethan30","morethan30","morethan4","7years","36to40","No","No","External","none","nochange","1vehicle","Liability"
"No",1,"Friday","Mazda","Urban","Tuesday","Jul",1,"Male","Single","ThirdParty","Sedan","20_000 to 29_000",673,12,400,4,"morethan30","morethan30","2to4","6years","31to35","No","No","External","none","4to8years","2vehicles","Collision"
"No",1,"Thursday","Honda","Urban","Wednesday","Jul",3,"Female","Single","ThirdParty","Sport","more than 69_000",693,14,400,1,"morethan30","morethan30","2to4","4years","31to35","No","No","External","none","nochange","1vehicle","Collision"
"Yes",3,"Wednesday","Mazda","Rural","Tuesday","Feb",1,"Male","Single","PolicyHolder","Sedan","20_000 to 29_000",701,8,400,1,"morethan30","morethan30","1","6years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
